Diagnosis,Number,
83300,5,#N/A
95909,5,#N/A
2121,5,"2121  = ""2121 : BENIGN NEO LARYNX"""
87333,5,#N/A
99670,5,#N/A
37124,5,"37124 = ""37124: EDEMA D/T CONTACT LENS"""
3080,5,"3080  = ""3080 : STRESS REACT/ EMOTIONAL"""
3083,5,"3083  = ""3083 : ACUTE STRESS REACT NEC"""
78322,5,"78322 = ""78322: UNDERWEIGHT (Begin 2000)"""
6009,5,"6009  = ""6009 : HYPERPLASIA OF PROSTATE- UNSPECIFIED (Begin 2000"
56723,5,"56723 = ""56723: SPONTAN BACT PERITONITIS (Begin 2005)"""
56729,5,"56729 = ""56729: SUPPURAT PERITONITIS NEC (Begin 2005)"""
57450,5,"57450 = ""57450: CHOLEDOCHOLITHIASIS NOS"""
9095,5,#N/A
3577,5,"3577  = ""3577 : NEURPTHY TOXIC AGENT NEC"""
3573,5,"3573  = ""3573 : NEUROPATHY IN MALIG DIS"""
7273,5,"7273  = ""7273 : BURSITIS NEC"""
E915,5,#N/A
37141,5,"37141 = ""37141: SENILE CORNEAL CHANGES"""
7296,5,"7296  = ""7296 : OLD FB IN SOFT TISSUE"""
71538,4,"71538 = ""71538: LOC OSTEOAR NOS-SITE NEC"""
30411,4,"30411 = ""30411: BARBITURAT DEPEND-CONTIN"""
30410,4,"30410 = ""30410: BARBITURAT DEPEND-UNSPEC"""
V3101,4,#N/A
99731,4,#N/A
79539,4,"79539 = ""79539: OTHER NONSPECIFIC POSITIVE CULTURE (Begin 2002)"""
72709,4,"72709 = ""72709: SYNOVITIS NEC"""
81509,4,#N/A
11283,4,"11283 = ""11283: CANDIDAL MENINGITIS"""
11285,4,"11285 = ""11285: CANDIDAL ENTERITIS (Begin 1992)"""
E9851,4,#N/A
36305,4,"36305 = ""36305: JUXTAPAP FOCAL RETINITIS"""
87371,4,#N/A
E9588,4,#N/A
72,4,"0072  = ""0072 : COCCIDIOSIS"""
2510,4,"2510  = ""2510 : HYPOGLYCEMIC COMA"""
85403,4,#N/A
42832,4,"42832 = ""42832: CHRONIC DIASTOLIC HEART FAILURE (Begin 2002)"""
42831,4,"42831 = ""42831: ACUTE DIASTOLIC HEART FAILURE (Begin 2002)"""
75511,4,"75511 = ""75511: SYNDACTYL FING-NO FUSION"""
2181,4,"2181  = ""2181 : INTRAMURAL LEIOMYOMA"""
80160,4,"80160 = ""80160: OP SKL BASE FX/CEREB LAC"""
2725,4,"2725  = ""2725 : LIPOPROTEIN DEFICIENCIES"""
86402,4,#N/A
5265,4,"5265  = ""5265 : ALVEOLITIS OF JAW"""
86389,4,#N/A
53084,4,"53084 = ""53084: TRACHEOESOPHAGEAL FISTULA (Begin 1993)"""
2530,4,"2530  = ""2530 : ACROMEGALY AND GIGANTISM"""
99779,4,#N/A
37643,4,"37643 = ""37643: ORBT DEFORM D/T BONE DIS"""
7810,4,"07810 = ""07810: VIRAL WARTS UNSPEC (Begin 1993)"""
24291,4,"24291 = ""24291: THYROTOX NOS W CRISIS"""
2706,4,"2706  = ""2706 : DIS UREA CYCLE METABOL"""
V8530,4,#N/A
E8799,4,#N/A
38014,4,"38014 = ""38014: MALIGNANT OTITIS EXTERNA"""
31539,4,"31539 = ""31539: SPEECHLANGUAGE DIS NEC"""
7776,4,"7776  = ""7776 : PERINATAL INTEST PERFOR"""
78907,4,"78907 = ""78907: ABDOM PAIN GENERALIZED (Begin 1994)"""
28984,4,"28984 = ""28984: HEPARIN-INDU THROMBOCYTO (Begin 2008)"""
43819,4,"43819 = ""43819: LATE EFF CVD SP DEF NEC (Begin 1997)"""
2559,4,"2559  = ""2559 : ADRENAL DISORDER NOS"""
V652,4,#N/A
37886,4,"37886 = ""37886: INTERNUCL OPHTHALMOPLEG"""
1110,4,"01110 = ""01110: TB LUNG NODULAR-UNSPEC"""
86229,4,#N/A
81502,4,#N/A
7908,4,"7908  = ""7908 : VIREMIA NOS-"""
7901,4,"7901  = ""7901 : ELEVATED SEDIMENT RATE"""
37412,4,"37412 = ""37412: MECHANICAL ECTROPION"""
48249,4,"48249 = ""48249: STAPH PNEUMON OTH (Begin 1998)"""
71947,4,"71947 = ""71947: JOINT PAIN-ANKLE"""
E8000,4,#N/A
3592,4,"3592  = ""3592 : MYOTONIC DISORDERS (end 2007)"""
V8532,4,#N/A
42654,4,"42654 = ""42654: TRIFASCICULAR BLOCK"""
1463,4,"1463  = ""1463 : MALIGN NEOPL VALLECULA"""
80505,4,#N/A
38201,4,"38201 = ""38201: AC SUPP OM W DRUM RUPT"""
82320,4,#N/A
74511,4,"74511 = ""74511: DOUBLE OUTLET RT VENTRIC"""
7299,4,"7299  = ""7299 : SOFT TISSUE DIS NEC/NOS (end 2008)"""
2030,4,"2030  = ""2030 : MULTIPLE MYELOMA (Begin 1980"
4841,4,"4841  = ""4841 : PNEUM W CYTOMEG INCL DIS"""
71697,4,"71697 = ""71697: ARTHROPATHY NOS-ANKLE"""
V026,4,#N/A
80420,4,#N/A
2827,4,"2827  = ""2827 : HEMOGLOBINOPATHIES NEC"""
77082,4,"77082 = ""77082: OTHER APNEA OF NEWBORN (Begin 2002)"""
77084,4,"77084 = ""77084: RESPIRATORY FAILURE OF NEWBORN (Begin 2002)"""
82302,4,#N/A
75481,4,"75481 = ""75481: PECTUS EXCAVATUM"""
81301,4,#N/A
6102,4,"6102  = ""6102 : FIBROADENOSIS OF BREAST"""
88102,4,#N/A
53250,4,"53250 = ""53250: CHR DUODEN ULCER W PERF"""
36054,4,"36054 = ""36054: OLD MAGNET FB- VITREOUS"""
36501,4,"36501 = ""36501: OPN ANGL W BORDERLN FIND"""
29534,4,"29534 = ""29534: PARAN SCHIZO-CHREXACERB"""
78050,4,"78050 = ""78050: SLEEP DISTURBANCE NOS"""
6924,4,"6924  = ""6924 : CHEMICAL DERMATITIS NEC"""
6923,4,"6923  = ""6923 : TOPICAL MED DERMATITIS"""
7712,4,"7712  = ""7712 : CONGENITAL INFEC NEC"""
3629,4,"3629  = ""3629 : RETINAL DISORDER NOS"""
9658,4,#N/A
37020,4,"37020 = ""37020: SUPERFIC KERATITIS NOS"""
41031,4,"41031 = ""41031: AMI INFEROPOST- INITIAL (Begin 1989)"""
3368,4,"3368  = ""3368 : MYELOPATHY NEC"""
1429,4,"1429  = ""1429 : MAL NEO SALIVARY NOS"""
72292,4,"72292 = ""72292: DISC DIS NEC/NOS-THORAC"""
5881,4,"05881 = ""05881: HUMAN HERPESVIRUS 6 INFC (Begin 2007)"""
E8258,4,#N/A
2781,4,"2781  = ""2781 : LOCALIZED ADIPOSITY"""
57511,4,"57511 = ""57511: CHRON CHOLECYSTITIS (Begin 1996)"""
36521,4,"36521 = ""36521: INTERMIT ANGL-CLOS GLAUC"""
78071,4,"78071 = ""78071: CHR FATIGUE SYNDR (Begin 1998)"""
6944,4,"6944  = ""6944 : PEMPHIGUS"""
94202,4,#N/A
80200,4,#N/A
2443,4,"2443  = ""2443 : IATROGEN HYPOTHYROID NEC"""
70713,4,"70713 = ""70713: ULCER OF ANKLE (Begin 2000)"""
90003,4,#N/A
8940,4,#N/A
34200,4,"34200 = ""34200: FLACCID HEMIPLEG- UNSPEC SIDE (Begin 1994)"""
993,4,"0993  = ""0993 : REITER-S DISEASE"""
9405,4,#N/A
9404,4,#N/A
36543,4,"36543 = ""36543: GLAUC W ANT SEG ANOM NEC"""
92410,4,#N/A
24900,4,"24900 = ""24900: SEC DM WO CMP NT ST UNCN (Begin 2008)"""
E8197,4,#N/A
E9319,4,#N/A
36220,4,"36220 = ""36220: RETINOPH PREMATURITY NOS (Begin 2008)"""
74334,4,"74334 = ""74334: CONG TOT/SUBTOT CATARACT"""
36489,4,"36489 = ""36489: IRIS/CILIARY DISORD NEC (Begin 2007)"""
V1529,4,#N/A
7542,4,"7542  = ""7542 : CONG POSTURAL DEFORMITY"""
96500,4,#N/A
4510,4,"04510 = ""04510: PARAL POLIO NEC-TYPE NOS"""
80016,4,"80016 = ""80016: CL SKULL VLT FX-COMA NOS"""
80011,4,"80011 = ""80011: CL SKULL VLT FX W/O COMA"""
8601,4,#N/A
2982,4,"2982  = ""2982 : REACTIVE CONFUSION"""
47822,4,"47822 = ""47822: PARAPHARYNGEAL ABSCESS"""
E9378,4,#N/A
75251,4,"75251 = ""75251: UNDESCEND TESTIS (Begin 1996)"""
5311,4,"05311 = ""05311: GENICULATE HERPES ZOSTER"""
41092,4,"41092 = ""41092: AMI NOS- SUBSEQUENT (Begin 1989)"""
30562,4,"30562 = ""30562: COCAINE ABUSE-EPISODIC"""
E8768,4,#N/A
400,4,"0400  = ""0400 : GAS GANGRENE"""
74860,4,"74860 = ""74860: LUNG ANOMALY NOS"""
5933,4,"5933  = ""5933 : STRICTURE OF URETER"""
80036,4,"80036 = ""80036: CL SKULL VLT FX-COMA NOS"""
41405,4,"41405 = ""41405: ATHERO BYPAS GFT NOS (Begin 1996)"""
7798,4,"07798 = ""07798: DIS OF CONJUNCT DUE TO CHLAMYDIAE (Begin 1993)"""
E8152,4,#N/A
99594,4,#N/A
30540,4,"30540 = ""30540: BARBITURATE ABUSE-UNSPEC"""
55220,4,"55220 = ""55220: OBSTR VENTRAL HERNIA NOS"""
64421,4,"64421 = ""64421: EARLY ONSET DELIVERY-DEL"""
27906,4,"27906 = ""27906: COMMON VARIABL IMMUNODEF"""
80051,4,"80051 = ""80051: OPN SKUL VLT FX W/O COMA"""
37703,4,"37703 = ""37703: PAPILLEDEMA W RETINA DIS"""
5354,4,"5354  = ""5354 : GASTRITIS NEC (Begin 1980"
37872,4,"37872 = ""37872: PROG EXT OPHTHALMOPLEGIA"""
2114,4,"2114  = ""2114 : BENIGN NEOPL RECTUM/ANUS"""
1910,4,"1910  = ""1910 : MALIGN NEOPL CEREBRUM"""
5100,4,"5100  = ""5100 : EMPYEMA WITH FISTULA"""
1193,4,"01193 = ""01193: PULMON TB NOS-MICRO DX"""
1194,4,"01194 = ""01194: PULMON TB NOS-CULT DX"""
36424,4,"36424 = ""36424: VOGT-KOYANAGI SYNDROME"""
44620,4,"44620 = ""44620: HYPERSENSIT ANGIITIS NOS (Begin 1990)"""
36645,4,"36645 = ""36645: TOXIC CATARACT"""
V0981,4,#N/A
80076,4,"80076 = ""80076: OPN SKUL VLT FX-COMA NOS"""
5400,4,"5400  = ""5400 : AC APPEND W PERITONITIS"""
5373,4,"5373  = ""5373 : DUODENAL OBSTRUCTION NEC"""
77981,4,"77981 = ""77981: NEONATAL BRADYCARDIA (Begin 2002)"""
20201,4,"20201 = ""20201: NODULAR LYMPHOMA HEAD"""
20200,4,"20200 = ""20200: NODULAR LYMPHOMA UNSPEC"""
92231,4,#N/A
81203,4,#N/A
4778,4,"4778  = ""4778 : ALLERGIC RHINITIS NEC"""
99665,4,#N/A
59381,4,"59381 = ""59381: RENAL VASCULAR DISORDER"""
3091,4,"3091  = ""3091 : PROLONG DEPRESSIVE REACT"""
1533,4,"1533  = ""1533 : MAL NEO SIGMOID COLON"""
73340,4,"73340 = ""73340: ASEPT NECROSIS BONE NOS"""
37112,4,"37112 = ""37112: STROMAL CORNEA PIGMENT"""
5952,4,"5952  = ""5952 : CHRONIC CYSTITIS NEC"""
V7283,4,#N/A
36524,4,"36524 = ""36524: RESIDUAL ANGL-CLOS GLAUC"""
7384,4,"7384  = ""7384 : ACQ SPONDYLOLISTHESIS"""
9064,4,#N/A
4480,4,"4480  = ""4480 : HEREDIT HEMORR TELANGIEC"""
E8131,4,#N/A
20191,4,"20191 = ""20191: HODGKINS DIS NOS HEAD"""
3152,4,"3152  = ""3152 : OTH LEARNING DIFFICULTY"""
4711,4,"4711  = ""4711 : POLYPOID SINUS DEGEN"""
3719,4,"3719  = ""3719 : CORNEAL DISORDER NOS"""
36460,4,"36460 = ""36460: IDIOPATHIC CYSTS"""
80132,4,"80132 = ""80132: CL SKUL BASE FX-BRF COMA"""
7241,4,"7241  = ""7241 : PAIN IN THORACIC SPINE"""
53530,4,"53530 = ""53530: ALCHL GASTRTIS W/O HMRHG (Begin 1991)"""
37481,4,"37481 = ""37481: HEMORRHAGE OF EYELID"""
37152,4,"37152 = ""37152: ANT CORNEA DYSTROPHY NEC"""
83104,4,#N/A
841,4,"00841 = ""00841: STAPHYLOCOCC ENTERITIS"""
42821,4,"42821 = ""42821: ACUTE SYSTOLIC HEART FAILURE (Begin 2002)"""
38530,4,"38530 = ""38530: CHOLESTEATOMA NOS"""
5253,4,"5253  = ""5253 : RETAINED DENTAL ROOT"""
34540,4,"34540 = ""34540: PSYMOTR EPIL W/O INT EPI (Begin 1989)"""
7462,4,"7462  = ""7462 : EBSTEIN-s ANOMALY"""
7464,4,"7464  = ""7464 : CONG AORTA VALV INSUFFIC"""
543,4,"0543  = ""0543 : HERPETIC ENCEPHALITIS"""
7989,4,"07989 = ""07989: OTH SPEC VIRAL INFECTION (Begin 1993)"""
5994,4,"5994  = ""5994 : URETHRAL FALSE PASSAGE"""
99989,4,#N/A
42800,4,#N/A
3522,4,"3522  = ""3522 : GLOSSOPHAR NERVE DIS NEC"""
49310,4,"49310 = ""49310: INT ASTHMA W/O STAT ASTH"""
38630,4,"38630 = ""38630: LABYRINTHITIS NOS"""
43320,4,"43320 = ""43320: VERTEBRAL ART OCCLUS W/O INFARCT (Begin 1993)"""
9189,4,"09189 = ""09189: SECONDARY SYPHILIS NEC"""
70712,4,"70712 = ""70712: ULCER OF CALF (Begin 2000)"""
2979,4,"2979  = ""2979 : PARANOID STATE NOS"""
37554,4,"37554 = ""37554: LACRIMAL SAC STENOSIS"""
9510,4,#N/A
38611,4,"38611 = ""38611: BENIGN PARXYSMAL VERTIGO"""
30423,4,"30423 = ""30423: COCAINE DEPEND-REMISS"""
1620,4,"01620 = ""01620: TB OF URETER-UNSPEC"""
34500,4,"34500 = ""34500: GEN NONCV EP W/O INTR EP (Begin 1989)"""
82002,4,#N/A
80152,4,"80152 = ""80152: OPN SKL BASE FX-BRF COMA"""
5251,4,"5251  = ""5251 : LOSS OF TEETH- ACQUIRED (End 2001)"""
V4973,4,#N/A
72691,4,"72691 = ""72691: EXOSTOSIS- SITE NOS"""
78930,4,"78930 = ""78930: ABDOM MASS NOS (Begin 1994)"""
318,4,"0318  = ""0318 : MYCOBACTERIAL DIS NEC"""
75313,4,"75313 = ""75313: POLYCYST KID-AUTOSOM DOM (Begin 1990)"""
9570,4,#N/A
8064,4,#N/A
7485,4,"7485  = ""7485 : AGENESIS OF LUNG"""
86600,4,#N/A
86602,4,#N/A
73000,4,"73000 = ""73000: AC OSTEOMYELITIS-UNSPEC"""
780,4,"0780  = ""0780 : MOLLUSCUM CONTAGIOSUM"""
E9194,4,#N/A
2771,4,"2771  = ""2771 : DIS PORPHYRIN METABOLISM"""
9140,4,#N/A
483,4,"483   = ""483  : PNEUMONIA: ORGANISM NEC (Begin 1980"
3674,4,"3674  = ""3674 : PRESBYOPIA"""
V665,4,#N/A
36722,4,"36722 = ""36722: IRREGULAR ASTIGMATISM"""
V448,4,#N/A
79091,4,"79091 = ""79091: ABN ART BLOOD GASES (Begin 1993)"""
E848,4,#N/A
30022,4,"30022 = ""30022: AGORAPHOBIA WO PANIC"""
60886,4,"60886 = ""60886: EDEMA- MALE GENITAL ORGN"""
38022,4,"38022 = ""38022: ACUTE OTITIS EXTERNA NEC"""
38023,4,"38023 = ""38023: CHR OTITIS EXTERNA NEC"""
20301,4,"20301 = ""20301: MULT MYELM W REMISSION (Begin 1991)"""
34489,4,"34489 = ""34489: OTH SPEC PARALYTIC SYNDROMES (Begin 1993)"""
9916,4,#N/A
32089,4,"32089 = ""32089: OTH BACTER MENINGITIS (Begin 1992)"""
4449,4,"4449  = ""4449 : ARTERIAL EMBOLISM NOS"""
V8521,4,#N/A
V604,4,#N/A
8912,4,#N/A
1412,4,"1412  = ""1412 : MAL NEO TIP/LAT TONGUE"""
72979,4,"72979 = ""72979: NONTRAUMA COMP SYN NEC (Begin 2006)"""
6118,4,"6118  = ""6118 : BREAST DISORDERS NEC (end 2008)"""
75169,4,"75169 = ""75169: BILIARY & LIVER ANOM NEC"""
3420,4,"3420  = ""3420 : FLACCID HEMIPLEGIA (End 1994)"""
41490,4,#N/A
449,4,"0449  = ""0449 : HIV- UNSPECIFIED (Begin 1986"
3969,4,"3969  = ""3969 : MITRAL/AORTIC V DIS NOS"""
36273,4,"36273 = ""36273: VITREORETINAL DYSTROPHY"""
36276,4,"36276 = ""36276: VITELLIFORM DYSTROPHY"""
74769,4,"74769 = ""74769: OTH SPEC PERIPH VASCULAR ANOM (Begin 1993)"""
9472,4,#N/A
2240,4,"2240  = ""2240 : BENIGN NEOPLASM EYEBALL"""
V540,4,#N/A
V548,4,#N/A
80234,4,"80234 = ""80234: FX RAMUS NOS-OPEN"""
37033,4,"37033 = ""37033: KERATOCONJUNCTIVIT SICCA"""
1986,4,"1986  = ""1986 : SECOND MALIG NEO OVARY"""
7511,4,"7511  = ""7511 : ATRESIA SMALL INTESTINE"""
53021,4,"53021 = ""53021: ULCER OF ESOPHAGUS WITH BLEEDING (Begin 2003)"""
72633,4,"72633 = ""72633: OLECRANON BURSITIS"""
E8180,4,#N/A
94234,4,#N/A
82522,4,#N/A
85195,4,#N/A
9620,4,#N/A
541,4,"541   = ""541  : APPENDICITIS NOS"""
92321,4,#N/A
80002,4,"80002 = ""80002: CL SKULL VLT FX-BRF COMA"""
20380,4,"20380 = ""20380: OTH IMNPRFL NPL W/O RMSN (Begin 1991)"""
76519,4,"76519 = ""76519: PRETERM NEC 2500+G (Begin 1988)"""
30989,4,"30989 = ""30989: ADJUSTMENT REACTION NEC"""
34409,4,"34409 = ""34409: QUADRIPLEGIA- OTHER (Begin 1994)"""
72871,4,"72871 = ""72871: PLANTAR FIBROMATOSIS"""
74442,4,"74442 = ""74442: BRANCHIAL CLEFT CYST"""
2511,4,"2511  = ""2511 : HYPERINSULINISM NEC"""
E8230,4,#N/A
81010,4,#N/A
V2133,4,#N/A
80022,4,"80022 = ""80022: CL SKULL VLT FX-BRF COMA"""
4340,4,"4340  = ""4340 : CEREBRAL THROMBOSIS (End 1993)"""
80707,4,#N/A
2419,4,"2419  = ""2419 : NONTOX NODUL GOITER NOS"""
36902,4,"36902 = ""36902: ONE EYE-NEAR TOT/OTH-NOS"""
30392,4,"30392 = ""30392: ALCOH DEP NECNOS-EPISOD"""
8260,4,#N/A
29644,4,"29644 = ""29644: BIPOL MANIC-SEV W PSYCH"""
8409,4,#N/A
7012,4,"7012  = ""7012 : ACQ ACANTHOSIS NIGRICANS"""
5731,4,"5731  = ""5731 : HEPATITIS IN VIRAL DIS"""
7583,4,"7583  = ""7583 : AUTOSOMAL DELETION SYND (End 2004)"""
4959,4,"4959  = ""4959 : ALLERG ALVEOL/PNEUM NOS"""
2166,4,"2166  = ""2166 : BENIGN NEO SKIN ARM"""
1903,4,"1903  = ""1903 : MAL NEO CONJUNCTIVA"""
30553,4,"30553 = ""30553: OPIOID ABUSE-IN REMISS"""
E9504,4,#N/A
99639,4,#N/A
4131,4,"4131  = ""4131 : PRINZMETAL ANGINA"""
5696,4,"5696  = ""5696 : ENTEROSTOMY MALFUNCTION (End 1995)"""
5695,4,"5695  = ""5695 : INTESTINAL ABSCESS"""
5965,4,"5965  = ""5965 : BLADDER DYSFUNCTION NEC (Begin 1980"
52409,4,"52409 = ""52409: ANOM JAW SIZE-NEC (Begin 1992)"""
56984,4,"56984 = ""56984: ANGIO INTES (W/O HMRHG) (Begin 1990)"""
4549,4,"4549  = ""4549 : VARICOSE VEIN OF LEG NOS"""
27919,4,"27919 = ""27919: DEFIC CELL IMMUNITY NOS"""
71597,4,"71597 = ""71597: OSTEOARTHROS NOS-ANKLE"""
40490,4,"40490 = ""40490: HY HT/REN NOS W/O CHF/RF (Begin 1989)"""
37842,4,"37842 = ""37842: EXOPHORIA"""
5759,4,"5759  = ""5759 : DIS OF GALLBLADDER NOS"""
5758,4,"5758  = ""5758 : DIS OF GALLBLADDER NEC"""
48281,4,"48281 = ""48281: ANAEROBIC PNEUMONIA (Begin 1992)"""
37105,4,"37105 = ""37105: PHTHISICAL CORNEA"""
4110,4,"04110 = ""04110: STAPH UNSPEC (Begin 1992)"""
E9064,4,#N/A
9071,4,#N/A
5300,4,"5300  = ""5300 : ACHALASIA & CARDIOSPASM"""
5304,4,"5304  = ""5304 : PERFORATION OF ESOPHAGUS"""
20211,4,"20211 = ""20211: MYCOSIS FUNGOIDES HEAD"""
E9382,4,#N/A
E9383,4,#N/A
46619,4,"46619 = ""46619: OTH ACUTE BRONCHIOL (Begin 1996)"""
46611,4,"46611 = ""46611: RSV BRONCHIOLITIS (Begin 1996)"""
V133,4,#N/A
20511,4,"20511 = ""20511: CHR MYL LEUK W RMSION (Begin 1991)"""
37121,4,"37121 = ""37121: IDIOPATHIC CORNEAL EDEMA"""
38320,4,"38320 = ""38320: PETROSITIS NOS"""
56722,4,"56722 = ""56722: PERITONEAL ABSCESS (Begin 2005)"""
1744,4,"01744 = ""01744: TB OF EAR-CULT DX"""
incn,4,#N/A
8821,4,#N/A
E911,4,#N/A
37146,4,"37146 = ""37146: NODULAR CORNEA DEGEN"""
949,4,"0949  = ""0949 : NEUROSYPHILIS NOS"""
8488,4,#N/A
5988,3,"5988  = ""5988 : URETHRAL STRICTURE NEC"""
58,3,"0058  = ""0058 : BACT FOOD POISONING NEC (End 1995)"""
52469,3,"52469 = ""52469: OTHER SPECF TMJ DISORDRS (Begin 1991)"""
52461,3,"52461 = ""52461: ADHESNS/ANKYLOSIS - TMJ (Begin 1991)"""
49301,3,"49301 = ""49301: EXT ASTHMA W STATUS ASTH"""
2680,3,"2680  = ""2680 : RICKETS- ACTIVE"""
72700,3,"72700 = ""72700: SYNOVITIS NOS"""
7452,3,"7452  = ""7452 : TETRALOGY OF FALLOT"""
99851,3,#N/A
80104,3,"80104 = ""80104: CL SKL BASE FX-PROL COMA"""
87374,3,#N/A
V176,3,#N/A
V172,3,#N/A
6218,3,"6218  = ""6218 : DISORDERS OF UTERUS NEC"""
V1203,3,#N/A
57411,3,"57411 = ""57411: CHOLELITH/GB INF NEC-OBS"""
27802,3,"27802 = ""27802: OVERWEIGHT (Begin 2005)"""
42833,3,"42833 = ""42833: ACUTE ON CHRONIC DIASTOLIC HEART FAILR (Begin 2002)"""
75513,3,"75513 = ""75513: SYNDACTYL TOE-NO FUSION"""
81382,3,#N/A
7945,3,"7945  = ""7945 : ABN THYROID FUNCT STUDY"""
86403,3,#N/A
86401,3,#N/A
1709,3,"1709  = ""1709 : MALIG NEOPL BONE NOS"""
2538,3,"2538  = ""2538 : PITUITARY DISORDER NEC"""
94118,3,#N/A
9563,3,#N/A
33720,3,"33720 = ""33720: REFLEX SYMPATH DYSTROPHY UNSPEC (Begin 1993)"""
33721,3,"33721 = ""33721: REFLEX SYMPATH DYSTROPHY UP LIMB (Begin 1993)"""
59780,3,"59780 = ""59780: URETHRITIS NOS"""
78899,3,"78899 = ""78899: OTH SYMPTM URINARY SYSTM (Begin 2008)"""
8502,3,#N/A
V4576,3,#N/A
V4575,3,#N/A
2700,3,"2700  = ""2700 : AMINO-ACID TRANSPORT DIS"""
2702,3,"2702  = ""2702 : AROM AMIN-ACID METAB NEC"""
1724,3,"01724 = ""01724: TB PERIPH LYMPH-CULT DX"""
5243,3,"5243  = ""5243 : TOOTH POSITION ANOMALY (End 2004)"""
E8791,3,#N/A
E8796,3,#N/A
78902,3,"78902 = ""78902: ABDOM PAIN LUQ (Begin 1994)"""
78905,3,"78905 = ""78905: ABDOM PAIN PERIUBILICAL (Begin 1994)"""
E8801,3,#N/A
2551,3,"2551  = ""2551 : HYPERALDOSTERONISM (End 2003)"""
85101,3,#N/A
37881,3,"37881 = ""37881: PALSY OF CONJUGATE GAZE"""
8075,3,#N/A
1119,3,"1119  = ""1119 : DERMATOMYCOSIS NOS"""
1118,3,"1118  = ""1118 : DERMATOMYCOSES NEC"""
81501,3,#N/A
4789,3,"4789  = ""4789 : UPPER RESP DIS NEC/NOS"""
53640,3,"53640 = ""53640: GASTROST COMPL UNSP (Begin 1998)"""
9150,3,"09150 = ""09150: SYPHILITIC UVEITIS NOS"""
37411,3,"37411 = ""37411: SENILE ECTROPION"""
71940,3,"71940 = ""71940: JOINT PAIN-UNSPEC"""
3064,3,"3064  = ""3064 : PSYCHOGENIC GI DISEASE"""
E9438,3,#N/A
1300,3,"01300 = ""01300: TB MENINGITIS-UNSPEC"""
V4984,3,#N/A
V4985,3,#N/A
82110,3,#N/A
7757,3,"7757  = ""7757 : LATE METAB ACIDOSIS NB"""
36032,3,"36032 = ""36032: HYPOTONY DUE TO FISTULA"""
3598,3,"3598  = ""3598 : MYOPATHY NEC (End 2002)"""
36732,3,"36732 = ""36732: ANISEIKONIA"""
V8533,3,#N/A
49381,3,"49381 = ""49381: EXERCISE INDUCED BRONCHOSPASM (Begin 2003)"""
3523,3,"3523  = ""3523 : PNEUMOGASTRIC NERVE DIS"""
29980,3,"29980 = ""29980: CHILD PSYCHOS NEC-ACTIVE"""
4238,3,"4238  = ""4238 : PERICARDIAL DISEASE NEC"""
4233,3,"4233  = ""4233 : CARDIAC TAMPONADE (Begin 2007)"""
2298,3,"2298  = ""2298 : BENIGN NEOPLASM NEC"""
86801,3,#N/A
4847,3,"4847  = ""4847 : PNEUM IN OTH SYS MYCOSES"""
E9412,3,#N/A
38871,3,"38871 = ""38871: OTOGENIC PAIN"""
36241,3,"36241 = ""36241: CENT SEROUS RETINOPATHY"""
29211,3,"29211 = ""29211: DRUG PARANOID STATE"""
9678,3,#N/A
37049,3,"37049 = ""37049: KERATOCONJUNCTIVITIS NEC"""
8901,3,#N/A
71481,3,"71481 = ""71481: RHEUMATOID LUNG"""
1408,3,"1408  = ""1408 : MAL NEO LIP NEC"""
V556,3,#N/A
71907,3,"71907 = ""71907: JOINT EFFUSION-ANKLE"""
36051,3,"36051 = ""36051: OLD MAGNET FB- ANT CHAMB"""
36059,3,"36059 = ""36059: OLD MAGNET FB- EYE NEC"""
37904,3,"37904 = ""37904: SCLEROMALACIA PERFORANS"""
29020,3,"29020 = ""29020: SENILE DELUSION"""
78059,3,"78059 = ""78059: SLEEP DISTURBANCES NEC"""
1340,3,"01340 = ""01340: TUBRCLMA SP CORD-UNSPEC"""
360,3,"0360  = ""0360 : MENINGOCOCCAL MENINGITIS"""
4478,3,"4478  = ""4478 : ARTERIAL DISEASE NEC"""
36262,3,"36262 = ""36262: MICROCYSTOID DEGENERAT"""
V638,3,#N/A
37450,3,"37450 = ""37450: DEGEN DISORDER NOS- LID"""
37023,3,"37023 = ""37023: FILAMENTARY KERATITIS"""
3361,3,"3361  = ""3361 : VASCULAR MYELOPATHIES"""
72293,3,"72293 = ""72293: DISC DIS NEC/NOS-LUMBAR"""
5880,3,"5880  = ""5880 : RENAL OSTEODYSTROPHY"""
23989,3,"23989 = ""23989: Neoplasm other sites NOS (Begin 2009)"""
7505,3,"7505  = ""7505 : CONG PYLORIC STENOSIS"""
81321,3,#N/A
2254,3,"2254  = ""2254 : BEN NEO SPINAL MENINGES"""
V572,3,#N/A
81401,3,#N/A
7864,3,"7864  = ""7864 : ABNORMAL SPUTUM"""
85185,3,#N/A
E9389,3,#N/A
2739,3,"2739  = ""2739 : DIS PLAS PROTEIN MET NOS"""
3343,3,"3343  = ""3343 : CEREBELLAR ATAXIA NEC"""
V1501,3,#N/A
V1502,3,#N/A
92310,3,#N/A
2271,3,"2271  = ""2271 : BENIGN NEO PARATHYROID"""
9402,3,#N/A
36541,3,"36541 = ""36541: GLAUC W CHAMB ANGLE ANOM"""
70909,3,"70909 = ""70909: OTHER SKIN DISORDERS (Begin 1994)"""
29572,3,"29572 = ""29572: SCHIZOAFFECTIVE-CHRONIC"""
